id;group_id;name;amount;created_at;description;source_type;source_poll_id
6356f971-c419-4aa5-90c8-acda2ad98fd2;aec743b6-fceb-46ce-bfa0-bb962f43da9e;Lyd og lys ;500000;2026-03-01 11:19:54.624634+00;;manual;
ad796999-7e71-444b-b182-a088707f1c86;aec743b6-fceb-46ce-bfa0-bb962f43da9e;Musikk;350000;2026-03-01 11:19:54.624634+00;;manual;
f6613ad4-8600-4400-bf44-fdffa1868922;aec743b6-fceb-46ce-bfa0-bb962f43da9e;Sjåfør;200000;2026-03-01 11:19:54.624634+00;;manual;
7ea69c43-f172-4fdb-9785-d5fa4a944fb4;aec743b6-fceb-46ce-bfa0-bb962f43da9e;Krisekasse;150000;2026-03-01 11:19:54.624634+00;;manual;
90c62b06-1269-4d50-bc00-cf11d78a4c83;aec743b6-fceb-46ce-bfa0-bb962f43da9e;Leie buss;1500000;2026-03-01 11:19:54.624634+00;;manual;
01c92f88-60a2-4692-8798-d54a5628f1a5;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;Leie av russebuss;500000;2026-03-02 13:52:15.873693+00;;manual;
dde5fa13-e616-4a63-873f-a44410a05d7b;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;Artister;350000;2026-03-02 13:52:15.873693+00;;manual;
46d266fd-4b51-4965-b0fd-b6418614a873;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;Lyd og lys;350000;2026-03-02 13:52:15.873693+00;;manual;
13b98541-e12e-445a-824d-310181e81cde;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;Annet;300000;2026-03-02 13:52:15.873693+00;;manual;
64ec3062-cad5-4ec7-b6f2-16a034c03c64;aec743b6-fceb-46ce-bfa0-bb962f43da9e;Kjøp av maling;50000;2026-03-03 13:39:37.863086+00;;manual;
7197abb2-feb6-4dbe-af1c-f4abfb550b39;1db6db46-a08e-4985-b8ab-44c4b1d1f5e6;Russebuss;200000;2026-03-04 11:29:41.566317+00;;manual;
b4163813-8bf9-428d-a953-3b6ef79f224e;1db6db46-a08e-4985-b8ab-44c4b1d1f5e6;Diverse;300000;2026-03-04 11:29:41.566317+00;;manual;