id;group_id;due_date;amount_per_member;created_at;effective_from
5346fa97-014b-4a84-b065-66a3bff001cf;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2025-09-01;10000;2026-03-01 11:19:54.781175+00;
aca15323-9753-47ae-9ce5-34ddcd5383d3;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2025-10-01;10000;2026-03-01 11:19:54.781175+00;
b6d5fd2e-cba5-4ec7-bce4-55ea6e9a4c95;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2025-11-01;10000;2026-03-01 11:19:54.781175+00;
bdfc74b0-4a7e-4ddc-aed6-791e4b1c72ec;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2025-12-01;10000;2026-03-01 11:19:54.781175+00;
809229f7-a0c3-4d4d-a5b7-11d4429d1617;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-01-01;10000;2026-03-01 11:19:54.781175+00;
9c760359-e989-4f30-af7e-13daeb1757a7;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-02-01;10000;2026-03-01 11:19:54.781175+00;
8e648a04-c990-4837-b2f4-1b3c6789d527;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-03-01;10000;2026-03-01 11:19:54.781175+00;
284274fe-fe62-4b41-928c-330b61b4c5b5;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-04-01;10000;2026-03-01 11:19:54.781175+00;
a26ff38f-25ae-4638-9960-994140c7cdf1;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-05-01;10000;2026-03-01 11:19:54.781175+00;
d1acb8fe-fe4d-46da-ab63-47fae871f836;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-04-01;6944;2026-03-02 13:52:16.185004+00;
93df7b06-1bf0-4768-a042-07c4e626d4d0;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-05-01;6944;2026-03-02 13:52:16.185004+00;
fab64afa-c590-48d7-abd2-3a931a55753f;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-06-01;6944;2026-03-02 13:52:16.185004+00;
e68333be-2871-43e9-9fd2-2e7cd27a83c9;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-07-01;6944;2026-03-02 13:52:16.185004+00;
cedf8b62-e187-4eaa-a71d-8a275bcdc0bc;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-08-01;6944;2026-03-02 13:52:16.185004+00;
e94f834a-b7f6-47cf-a05d-19853b49350b;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-09-01;6944;2026-03-02 13:52:16.185004+00;
c15e0c43-31cc-48c5-84e9-6f05073e55f2;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-10-01;6944;2026-03-02 13:52:16.185004+00;
3524c4ab-3abf-4999-919f-42b168ac1383;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-11-01;6944;2026-03-02 13:52:16.185004+00;
15f14b20-acc2-4e62-9982-667c31012165;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-12-01;6948;2026-03-02 13:52:16.185004+00;
867e9701-b628-4069-baa7-ff34e439c43f;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-06-03;10000;2026-03-03 13:37:26.30452+00;2026-05-03
4c9cb23f-fcdb-4690-85c5-78a6f5735b61;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-07-03;10000;2026-03-03 13:37:26.46837+00;2026-05-03
96aef877-02e1-4c77-9986-078b423af785;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-08-03;10000;2026-03-03 13:37:26.621711+00;2026-05-03
e79987ef-a4e5-41fe-944f-1abeb9081fd7;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-09-03;10000;2026-03-03 13:37:26.789274+00;2026-05-03
989900f5-5db5-42b7-a4d8-689994a0ccd8;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-10-03;10000;2026-03-03 13:37:26.944576+00;2026-05-03
4f3ae5f9-4bdd-4915-8140-a6fe9940f12c;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-11-03;10000;2026-03-03 13:37:27.126927+00;2026-05-03
840a26d9-cec3-4aad-8838-7250f6890273;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-12-03;10000;2026-03-03 13:37:27.282421+00;2026-05-03
5160968f-fbed-4795-ba18-0abf28971d55;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2027-01-03;10000;2026-03-03 13:37:27.438917+00;2026-05-03
f272f6a9-c2f3-471c-b06a-d7e1313ab1ec;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-06-03;10000;2026-03-03 13:37:27.56084+00;2026-05-03
605becd8-5c9f-42fb-94db-26a9055b0977;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2027-02-03;10000;2026-03-03 13:37:27.585019+00;2026-05-03
57c19856-ed3d-4a10-9935-2bdb7b656128;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-07-03;10000;2026-03-03 13:37:27.697036+00;2026-05-03
26737d35-6ed7-4fac-ad03-89211d807f7b;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2027-03-03;10000;2026-03-03 13:37:27.698567+00;2026-05-03
ff913047-7566-4a73-a01d-b77bcd269dd2;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-08-03;10000;2026-03-03 13:37:27.81145+00;2026-05-03
a401c671-61ee-46ca-973d-d3d9b186362e;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-09-03;10000;2026-03-03 13:37:27.935338+00;2026-05-03
3fa5b20b-703f-41df-a497-48115299706a;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-10-03;10000;2026-03-03 13:37:28.0699+00;2026-05-03
69ae5fc7-f121-4e88-808c-4152b4630f45;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-11-03;10000;2026-03-03 13:37:28.179788+00;2026-05-03
830f8e7c-fbe2-4de6-a352-678ccba5cc0a;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-06-03;10000;2026-03-03 13:37:28.212406+00;2026-05-03
11bb29ae-9898-4a4c-bf3e-ffbf3cda85a9;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-12-03;10000;2026-03-03 13:37:28.307049+00;2026-05-03
d4be888c-0c85-4db4-8039-e67392ebc22b;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-07-03;10000;2026-03-03 13:37:28.320547+00;2026-05-03
047e04e7-3667-47ab-813b-670be7c3112c;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-08-03;10000;2026-03-03 13:37:28.518971+00;2026-05-03
14aa4c68-762f-41be-a8b6-e87d8dd865e4;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2027-01-03;10000;2026-03-03 13:37:28.519312+00;2026-05-03
4cab7cbd-d71d-41ee-ada1-5751dfc07fce;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2027-02-03;10000;2026-03-03 13:37:28.643064+00;2026-05-03
875f8c84-8ad1-47c1-a926-ac2565d30cb0;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-09-03;10000;2026-03-03 13:37:28.643599+00;2026-05-03
ea50b821-6506-4573-943f-22e070be9b51;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-10-03;10000;2026-03-03 13:37:28.761183+00;2026-05-03
18369228-9bd2-4bdd-aff2-91e79d170b2b;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2027-03-03;10000;2026-03-03 13:37:28.805032+00;2026-05-03
457d74ba-f977-4199-823f-a006655bf8e8;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-11-03;10000;2026-03-03 13:37:28.902576+00;2026-05-03
742a8c7b-3401-435f-ab49-54953f7b9b93;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-12-03;10000;2026-03-03 13:37:29.031056+00;2026-05-03
0f3cfd40-a827-4ba2-9359-39f180acda52;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2027-01-03;10000;2026-03-03 13:37:29.45833+00;2026-05-03
e2b6a608-e570-4168-82da-4e5e660e7d07;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2027-02-03;10000;2026-03-03 13:37:29.55804+00;2026-05-03
e77f91e1-0b46-4177-9e0d-1d9fa4b22b48;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2027-03-03;10000;2026-03-03 13:37:29.668555+00;2026-05-03
23ac5de5-3ad6-434c-8683-5e3347eb3a53;1db6db46-a08e-4985-b8ab-44c4b1d1f5e6;2025-08-01;2315;2026-03-04 11:29:41.756995+00;
60c04502-ebbf-4e6b-a288-61a05820a9f5;1db6db46-a08e-4985-b8ab-44c4b1d1f5e6;2025-09-01;2315;2026-03-04 11:29:41.756995+00;
7c4cde5a-0b6c-424f-97c5-c348bbbd6b45;1db6db46-a08e-4985-b8ab-44c4b1d1f5e6;2025-10-01;2315;2026-03-04 11:29:41.756995+00;
db4b50fc-d204-45b8-91cb-ad928d5e0c51;1db6db46-a08e-4985-b8ab-44c4b1d1f5e6;2025-11-01;2315;2026-03-04 11:29:41.756995+00;
f6738163-0d61-4bfd-a953-cd857e1e19e5;1db6db46-a08e-4985-b8ab-44c4b1d1f5e6;2025-12-01;2315;2026-03-04 11:29:41.756995+00;
20531ad2-200f-492b-b216-b60d26506931;1db6db46-a08e-4985-b8ab-44c4b1d1f5e6;2026-01-01;2315;2026-03-04 11:29:41.756995+00;
7ade0b19-363d-453b-8ac1-f3d303e95dd9;1db6db46-a08e-4985-b8ab-44c4b1d1f5e6;2026-02-01;2315;2026-03-04 11:29:41.756995+00;
b7423365-23d7-436e-9905-17637097c221;1db6db46-a08e-4985-b8ab-44c4b1d1f5e6;2026-03-01;2315;2026-03-04 11:29:41.756995+00;
932d7181-ba29-469e-af93-636677d50d20;1db6db46-a08e-4985-b8ab-44c4b1d1f5e6;2026-04-01;2313;2026-03-04 11:29:41.756995+00;